  Probability — Problem Entry Log,,,,,,,,
Enter problems below. Difficulty is pre-filled but editable. Problem_ID format: CALC-E-01 | PROB-M-05 | LA-H-12,,,,,,,,
Problem_ID,Source,Problem Statement,Correct Answer,Difficulty,Topic,,,Notes / Edge Case
,,,,,,,,
Class 01 problem 04(Intro to Probability ,MIT OpenCourseWare ,"(a) Count the number of ways to get exactly 3 heads in 10 flips of a coin.
(b) For a fair coin, what is the probability of exactly 3 heads in 10 flips?",(a) 10c3  (b) 0.117,Easy,Probability,binomial probability,,Tests understanding the combination and sample-space counting
Class 01 problem 01(Intro to Probability ,MIT OpenCourseWare ,"A band consists of singers and guitar players:
7 people sing, 4 play guitar, 2 do both
How many people are in the band?",9,Easy,Probability,Inclusion–Exclusion Principle,,Tests understanding of overlapping sets and avoidance of double counting.
Class 01 problem 02(Intro to Probability ,MIT OpenCourseWare ,"There are 5 Competitors in an Olympics 100m final.How many ways can gold, silver, and bronze be awarded?
",60 ways (5 × 4 × 3 = 60),Easy,Probability,Rule of Product / Permutations,,"Tests understanding that order matters (gold, silver, bronze are distinct positions)."
"6.041SC Probabilistic Systems Analysis, Problem Set 1",MIT OpenCourseWare ,"You flip a fair coin 3 times, determine the probability of the below events. Assume all
sequences are equally likely.
(a) Three heads: HHH
(b) The sequence head, tail, head: HTH
(c) Any sequence with 2 heads and 1 tail
(d) Any sequence where the number of heads is greater than or equal to the number of tails","1/8, 1/8, 3/8, 1/2",Easy,Probability,Sample Spaces and Coin Tosses,,Tests basic understanding of equally likely outcomes and event counting.
"6.041SC Probabilistic Systems Analysis, Problem Set 1 qus 3",MIT OpenCourseWare ,"Bob has a peculiar pair of four-sided dice. When he rolls the dice, the probability of any
particular outcome is proportional to the sum of the results of each die. All outcomes that
result in a particular sum are equally likely.
(a) What is the probability of the sum being even?
(b) What is the probability of Bob rolling a 2 and a 3, in any order?","1/2, 1/8",Easy,Probability,Weighted Probability Distributions,,Tests understanding of non-uniform probability distributions.
"6.041SC Probabilistic Systems Analysis, Problem Set 3 qus1",MIT OpenCourseWare ,"The hats of n persons are thrown into a box. The persons then pick up their hats at random (i.e.,
so that every assignment of the hats to the persons is equally likely). What is the probability
that
(a) every person gets his or her hat back?", 1/n!,Easy,Probability,Permutations and Sample Spaces,,Tests understanding of equally likely permutations and favorable outcomes.
Problem sol 03 (Intro to P& S),MIT OpenCourseWare ,"Roll two dice and consider the following events
• 𝐴 = ‘first die is 3’
• 𝐵 = ‘sum is 6’
• 𝐶 = ‘sum is 7’
𝐴 is independent of
(a) 𝐵 and 𝐶 (b) 𝐵 alone (c) 𝐶 alone (d) Neither 𝐵 or 𝐶.",c,Easy,Probability,,,
Problem sol 03 (Intro to P& S),MIT OpenCourseWare ,"Ignoring leap days, the days of the year can be numbered 1 to 365. Assume that birthdays
are equally likely to fall on any day of the year. Consider a group of 𝑛 people, of which you
are not a member. An element of the sample space 𝑆 will be a sequence of 𝑛 birthdays (one
for each person).
(a) Define the probability function 𝑃 for 𝑆. (This will depend on 𝑛.)",1/365 to power n,Easy,Probability,,,
Problem sol 03 (Intro to P& S),MIT OpenCourseWare ,"
Suppose 𝑋 is a discrete random variable,
True or False: If Var(𝑋) = 0 then 𝑋 is constant.
Solution: True. If 𝑋 can take more than one value with positive probability, than Var(𝑋)
will be a sum of positive terms. So, 𝑋 is constant if and only if Var(𝑋) = 0.",TRUE,Easy,Probability,Variance,,
