Experiment Data —  Calculus & Linear Algebra,,,,,,,,,,
"SCORING: PC (0–3): 0=no attempt, 1=partial, 2=mostly correct, 3=fully correct. RQ (0–3): 0=no reasoning, 1=weak, 2=adequate, 3=clear & correct step-by-step. ERROR CODE: E1=Conceptual, E2=Method, E3=Calculation, E4=Reasoning, E5=Incomplete, E6=Hallucination, N/A=correct answer.",,,,,,,,,,
Model Name,"Topic
(Calc/Prob/LA)","Difficulty
(E/M/H)","Response
Time (s)","Final Answer
Correct?
(Y/N)","Programming
Correctness
(0–3)","Reasoning
Quality
(0–3)","Hallucination
(0/1)","Error Code
(E1–E6 or N/A)",Notes / Edge Cases,
ChatGPT,C,E,3.19s,Y,3,3,0,N/A,N/A,
,C,E,4.96s,Y,3,3,0,N/A,N/A,
,C,E,3.43s,Y,3,3,0,N/A,N/A,
,C,E,3.92s,Y,3,3,0,N/A,N/A,
,C,E,5.86s,Y,3,3,0,N/A,N/A,
,C,E,3.55s,Y,3,3,0,N/A,N/A,
,C,E,8.76s,Y,3,3,0,N/A,N/A,
,C,E,10.64s,Y,3,3,0,N/A,N/A,
,C,E,7.32s,Y,3,3,0,N/A,N/A,
,C,E,8.67s,Y,3,3,0,N/A,N/A,
,C,M,10.33s,Y,3,2,0,N/A,N/A,
,C,M,6.06s,Y,3,2,0,N/A,N/A,
,C,M,8.31s,Y,3,3,0,N/A,N/A,
,C,M,14.54s,Y,3,2,0,N/A,N/A,
,C,M,10.33s,Y,3,3,0,N/A,N/A,
,C,M,8.21s,Y,3,3,0,N/A,N/A,
,C,M,9.88s,Y,3,2,0,N/A,N/A,
,C,M,14.72s,Y,3,2,0,N/A,N/A,
,C,M,6.88s,Y,3,3,0,N/A,N/A,
,C,M,19.53s,Y,3,3,0,N/A,N/A,
,C,H,5.23s,Y,3,3,0,N/A,N/A,
,C,H,16.48s,Y,3,3,0,N/A,N/A,
,C,H,17.63s,Y,3,3,0,N/A,N/A,
,C,H,16.93s,Y,3,2,0,N/A,N/A,
,C,H,17.37s,Y,3,3,0,N/A,N/A,
,C,H,19.91s,Y,3,3,0,N/A,N/A,
,C,H,20.27s,Y,3,2,0,N/A,N/A,
,,,,,,,,,,
,LA,M,23.44s,Y,2,2,0,N/A,N/A,
,LA,M,22.50s,Y,3,2,0,N/A,N/A,
,LA,M,26.35s,Y,3,2,0,N/A,N/A,
,LA,M,21.69s,Y,2,2,0,N/A,N/A,
,LA,M,24.20s,Y,3,2,0,N/A,N/A,
,LA,H,45.01s,Y,3,3,0,N/A,N/A,
,LA,H,33.07s,Y,3,3,0,N/A,N/A,
,LA,H,15.53s,Y,3,3,0,N/A,N/A,
,LA,H,19.92s,Y,2,2,0,N/A,N/A,
,LA,H,11.33s,Y,3,2,0,N/A,N/A,
,LA,H,22.41s,Y,3,2,0,N/A,N/A,
,LA,H,12.59s,Y,2,2,0,N/A,N/A,
,LA,H,11.64s,Y,3,2,0,N/A,N/A,
,,,,,,,,,,
,,,,,,,,,,
Claude,C,E,6.21s,Y,3,2,0,N/A,N/A,
,C,E,8.67s,Y,3,3,0,N/A,N/A,
,C,E,5.89s,Y,3,3,0,N/A,N/A,
,C,E,6.50s,Y,3,3,0,N/A,N/A,
,C,E,7.43s,Y,3,3,0,N/A,N/A,
,C,E,6.72s,Y,3,2,0,N/A,N/A,
,C,E,7.35s,Y,3,3,0,N/A,N/A,
,C,E,7.83s,Y,3,3,0,N/A,N/A,
,C,E,9.87s,Y,3,3,0,N/A,N/A,
,C,E,10.07s,Y,3,3,0,N/A,N/A,
,C,M,9.41s,Y,3,3,0,N/A,N/A,
,C,M,9.40s,Y,3,3,0,N/A,N/A,
,C,M,15.07s,Y,3,3,0,N/A,N/A,
,C,M,10.89s,Y,3,3,0,N/A,N/A,
,C,M,11.16s,Y,3,3,0,N/A,N/A,
,C,M,11.03s,Y,3,3,0,N/A,N/A,
,C,M,11.16s,Y,3,3,0,N/A,N/A,
,C,M,11.90s,Y,3,3,0,N/A,N/A,
,C,M,10.87s,Y,3,3,0,N/A,N/A,
,C,M,11.91s,Y,3,2,0,N/A,N/A,
,C,H,13.25s,Y,3,3,0,N/A,N/A,
,C,H,14.97s,Y,3,3,0,N/A,N/A,
,C,H,11.91s,Y,3,3,0,N/A,N/A,
,C,H,12.25s,Y,3,3,0,N/A,N/A,
,C,H,11.64s,Y,3,3,0,N/A,N/A,
,C,H,9.99s,Y,3,3,0,N/A,N/A,
,C,H,15.02s,Y,3,3,0,N/A,N/A,
,LA,M,19.60s,Y,2,3,0,N/A,N/A,
,LA,M,13.64s,Y,3,3,0,N/A,N/A,
,LA,M,15.30s,Y,3,3,0,N/A,N/A,
,LA,M,16.52s,Y,3,3,0,N/A,N.A,
,LA,M,15.50s,Y,3,3,0,N/A,N/A,
,LA,H,21.53s,Y,3,3,0,N/A,N/A,
