Experiment Data — Probability and Linear Algebra,,,,,,,,,,
"SCORING: PC (0–3): 0=no attempt, 1=partial, 2=mostly correct, 3=fully correct. RQ (0–3): 0=no reasoning, 1=weak, 2=adequate, 3=clear & correct step-by-step. ERROR CODE: E1=Conceptual, E2=Method, E3=Calculation, E4=Reasoning, E5=Incomplete, E6=Hallucination, N/A=correct answer.",,,,,,,,,,
Model Name,"Topic
(Calc/Prob/LA)","Difficulty
(E/M/H)","Response
Time (s)","Final Answer
Correct?
(Y/N)","Programming
Correctness
(0–3)","Reasoning
Quality
(0–3)","Hallucination
(0/1)","Error Code
(E1–E6 or N/A)",Notes / Edge Cases,
ChatGPT,P,E,12s,Y,3,2,0,N/A,,
,P,E,7s,Y,3,2,0,N/A,,
,P,E,6s,Y,3,2,0,N/A,,
,P,E,10s,Y,3,3,0,N/A,,
,P,E,15s,Y,3,3,0,N/A,,
,P,E,7s,Y,3,2,0,N/A,,
,P,E,12s,Y,3,2,0,N/A,,
,P,E,12s,Y,3,3,0,N/A,,
,P,E,11s,Y,3,3,0,N/A,,
,P,M,14s,Y,3,3,0,N/A,,
,P,M,14s,Y,3,3,0,N/A,,
,P,M,9s,Y,3,3,0,N/A,,
,P,M,11s,Y,3,2,0,N/A,,
,P,M,13s,Y,3,3,0,N/A,,
,P,M,8s,Y,3,2,0,N/A,,
,P,M,15s,Y,3,3,0,N/A,,
,P,M,23s,Y,3,3,0,N/A,,
,P,M,11s,Y,3,2,0,N/A,,
,P,M,8s,Y,3,2,0,N/A,,
,P,H,15s,Y,3,3,0,N/A,,
,P,H,5s,Y,3,3,0,N/A,,
,P,H,13s,N,2,3,1,E3,,
,P,H,15s,Y,2,3,0,N/A,,
,P,H,5s,Y,3,3,0,N/A,,
,P,H,17s,Y,3,3,0,N/A,,
,P,H,16s,Y,3,3,0,N/A,,
,,,,,,,,,,
,LA,E,18s,Y,3,3,0,N/A,,
,LA,E,13s,N,2,2,1,E3,,
,LA,E,16s,Y,3,3,0,N/A,,
,LA,E,17s,Y,3,3,0,N/A,,
,LA,E,18s,Y,3,3,0,N/A,,
,LA,E,11s,Y,3,2,0,N/A,,
,LA,E,12s,N,2,2,0,E5,,
,LA,E,10s,Y,3,3,0,N/A,,
,LA,E,17s,Y,3,3,0,N/A,,
,LA,M,10s,N,2,2,1,E3,,
,LA,M,26s,Y,3,3,0,N/A,,
,LA,M,13s,Y,3,3,0,N/A,,
,LA,M,24s,Y,3,3,0,N/A,,
,LA,M,30s,Y,3,3,0,N/A,,
,,,,,,,,,,
Llama,P,E,70s,N,1,3,0,E2,,
,P,E,40s,Y,3,3,0,N/A,,
,P,E,33s,Y,3,3,0,N/A,,
,P,E,110s,N,2,3,1,E3,,
,P,E,120s,Y,3,2,0,N/A,,
,P,E,80s,N,2,2,0,E1,,
,P,E,200s,N,2,2,0,E1,,
,P,E,190s,N,2,3,0,E2,,
,P,E,100s,Y,3,2,0,N/A,,
,P,M,120s,N,2,3,1,E3,,
,P,M,170s,N,2,3,0,E3,,
,P,M,200s,Y,3,3,0,N/A,,
,P,M,250s,Y,3,3,0,N/A,,
,P,M,360s,N,2,3,0,E3,,
,P,M,540s,N,2,3,0,E1,,
,P,M,120s,Y,3,3,0,N/A,,
,P,M,150s,N,3,2,1,E2,,
,P,M,180s,N,2,3,1,E1,,
,P,M,190s,N,2,2,0,E3,,
,P,H,160s,N,2,3,0,E3,,
,P,H,180s,Y,3,3,0,N/A,,
,P,H,150s,N,2,3,1,E3,,
,P,H,160s,N,2,3,0,E4,,
,P,H,190s,N,2,3,0,E5,,
,P,H,230s,Y,3,3,0,N/A,,
,P,H,220s,N,2,3,0,E3,,
,,,,,,,,,,
,LA,E,130s,N,2,3,0,E3,,
,LA,E,120s,Y,3,2,0,N/A,,
,LA,E,150s,N,2,2,0,E5,,
,LA,E,130s,N,2,2,1,E2,,
,LA,E,145s,Y,3,3,0,N/A,,
,LA,E,120s,Y,3,3,0,N/A,,
,LA,E,170s,Y,3,2,0,N/A,,
,LA,E,140s,Y,3,3,0,N/A,,
,LA,E,200s,Y,3,3,0,N/A,,
,LA,M,140s,N,2,3,0,E2,,
,LA,M,230s,Y,3,2,0,N/A,,
,LA,M,180s,Y,3,2,0,N/A,,
,LA,M,120s,Y,3,2,0,N/A,,
,LA,M,60s,Y,3,3,0,N/A,,
,,,,,,,,,,
Mistral,P,E,90s,N,2,2,0,E5,,
,P,E,40s,Y,3,2,0,N/A,,
,P,E,30s,N,2,2,0,E3,,
,P,E,180s,N,2,2,0,E4,,
,P,E,130s,N,2,3,0,E3,,
,P,E,90s,N,2,3,0,E4,,
,P,E,150s,N,2,3,0,E4,,
,P,E,90s,N,2,2,0,E4,,
,P,E,40s,Y,3,2,0,N/A,,
,P,M,190s,N,2,3,1,E3,,
,P,M,240s,N,2,3,0,E4,,
,P,M,160s,N,2,3,1,E5,,
,P,M,480s,N,2,3,0,E3,,
,P,M,120s,N,2,3,0,E4,,
,P,M,30s,N,2,3,0,E4,,
,P,M,37s,Y,3,3,0,N/A,,
,P,M,240s,N,2,2,0,E1 and E2,,
,P,M,200s,Y,3,2,0,N/A,,
,P,M,120s,N,2,3,1,E3,,
,P,H,180s,N,2,3,0,E4,,
,P,H,120s,Y,3,2,0,N/A,,
,P,H,240s,N,2,2,0,E3,,
,P,H,360s,Y,3,3,0,N/A,,
,P,H,120s,Y,3,3,0,N/A,,
,P,H,240s,Y,3,3,0,N/A,,
,P,H,180s,N,2,3,1,E3,,
,,,,,,,,,,
,LA,E,420s,N,2,3,0,E3,,
,LA,E,300s,N,1,2,0,E2,,
,LA,E,270s,Y,3,3,0,N/A,,
,LA,E,120s,Y,3,3,0,N/A,,
,LA,E,80s,N,2,2,0,E5,,
,LA,E,300s,Y,3,2,0,N/A,,
,LA,E,430s,Y,3,3,0,N/A,,
,LA,E,340s,Y,3,3,0,N/A,,
,LA,E,500s,N,2,3,1,E3,,
,LA,M,250s,N,2,3,0,E1,,
,LA,M,270s,N,2,3,0,E4,,
,LA,M,300s,Y,3,3,0,N/A,,
,LA,M,420s,Y,3,3,0,N/A,,
,LA,M,480s,Y,2,3,0,E4,,
,,,,,,,,,,
Qwen,P,E,146s,Y,3,3,0,N/A,,
,P,E,84s,Y,3,3,0,N/A,,
,P,E,48s,Y,3,3,0,N/A,,
,P,E,103s,Y,3,3,0,N/A,,
,P,E,126s,N,1,2,1,E1,,
,P,E,54s,Y,3,3,0,N/A,,
,P,E,148s,Y,2,2,0,N/A,,
,P,E,116s,Y,3,3,0,N/A,,
,P,E,68s,Y,3,3,0,N/A,,
,P,M,137s,Y,3,3,0,N/A,,
,P,M,128s,N,1,2,1,E1,,
,P,M,103s,Y,3,3,0,N/A,,
,P,M,166s,Y,3,3,0,N/A,,
,P,M,168s,Y,3,3,0,N/A,,
,P,M,89s,Y,3,3,0,N/A,,
,P,M,106s,Y,3,3,0,N/A,,
,P,M,210s,N,2,2,0,E5,,
,P,M,155s,Y,3,3,0,N/A,,
,P,M,114s,Y,2,3,0,N/A,,
,P,H,286s,N,1,2,1,E3,,
,P,H,158s,Y,3,3,0,N/A,,
,P,H,135s,N,1,2,1,E1,,
,P,H,182s,Y,2,3,0,N/A,,
,P,H,135s,Y,3,3,0,N/A,,
,P,H,235s,N,1,2,1,E3,,
,P,H,242s,N,1,2,1,E3,,
,,,,,,,,,,
,LA,E,204s,Y,3,3,0,N/A,,
,LA,E,297s,Y,3,3,0,N/A,,
,LA,E,105s,Y,3,3,0,N/A,,
,LA,E,157s,Y,2,1,0,N/A,,
,LA,E,241s,Y,3,3,0,N/A,,
,LA,E,176s,Y,3,3,0,N/A,,
,LA,E,150s,Y,3,3,0,N/A,,
,LA,E,99s,Y,3,3,0,N/A,,
,LA,E,356s,Y,3,1,0,N/A,,
,LA,M,295s,N,1,2,1,E1,,
,LA,M,239s,N,2,2,1,E5,,
,LA,M,195s,Y,3,3,0,N/A,,
,LA,M,283s,N,1,2,1,E1,,
,LA,M,222s,N,1,2,1,E3,,
,,,,,,,,,,
,,,,,,,,,,
SUMMARY STATISTICS ,,,,,,,,,,
Model,Accuracy (%),Avg PC (/3),PC (%),Avg RQ (/3),RQ (%),Hall Rate (%),Reliability (%),High Quality RQ (%),Avg RT (s),CS%
ChatGPT,90%,2.875,95.83%,2.675,89.16%,7.50%,92.50%,67.50%,13.475s,90%
Claude,97.50%,2.95,98.33%,2.95,98.33%,2.50%,97.50%,95%,13.5s,95%
Qwen 2.5 7B,72.50%,2.4,80%,2.6,86.66%,25%,75%,65%,166.525s,62.50%
Llama 3.1 8B,47.50%,2.475,82.50%,2.675,89.16%,15.00%,85%,67.50%,163.7s,52.50%
Mistral 7B,40%,2.35,78.33%,2.675,89.16%,12.50%,88%,67.50%,211.675s,37.50%
,,,,,,,,,,
Claude,P,E,7s,Y,3,3,0,N/A,,
,P,E,8s,Y,3,2,0,N/A,,
,P,E,8s,Y,3,2,0,N/A,,
,P,E,13s,Y,3,3,0,N/A,,
,P,E,9s,Y,3,3,0,N/A,,
,P,E,9s,Y,3,3,0,N/A,,
,P,E,20s,Y,3,3,0,N/A,,
,P,E,12s,Y,3,3,0,N/A,,
,P,E,15s,Y,3,3,0,N/A,,
,P,M,15s,Y,3,3,0,N/A,,
,P,M,13s,Y,3,3,0,N/A,,
,P,M,15s,Y,3,3,0,N/A,,
,P,M,13s,Y,3,3,0,N/A,,
,P,M,14s,Y,3,3,0,N/A,,
,P,M,13s,Y,3,3,0,N/A,,
,P,M,8s,Y,3,3,0,N/A,,
,P,M,10s,N,2,3,0,E2,,
,P,M,12s,Y,3,3,0,N/A,,
